Country,Longitude,Latitude,Basin,Seep_Type,Seep_Name,CH4_Concentration,C2_Concentration,C3_Concentration,Delta13C1,DeltaD1,Bernard_Ratio
Vietnam,50.3933,-24.864,Western Canada Sedimentary Basin,Oil,Oil Seep 2,7.2,0.2,93.1,-29.4,-199,1.3
Saudi Arabia,-91.486,29.713,Song Hong Basin,Gas,Oil Seep 3,7.1,0.2,92.9,-29.8,-204,1.5
United States,31.1871,-21.4362,Zimbabwe Border Basin,Gas,Gas Seep 2,6.8,0.2,93.2,-29.8,-204,1.5
Canada,-74.0944,45.1979,Gulf of Valencia Basin,Oil,Oil Seep 1,6.5,0.2,93.7,-29.4,-201,1.4
Norway,-72.7671,48.0508,San Joaquin Basin,Oil,Oil Seep 3,7.0,0.2,93.0,-29.5,-204,1.4
Uzbekistan,-69.8582,-32.2101,Bas Cuu Long Basin,Oil,Oil Seep 3,6.7,0.3,92.6,-29.6,-198,1.5
Thailand,53.7405,40.2166,Colorado Basin,Gas,Gas Seep 2,7.0,0.2,92.6,-29.5,-201,1.5
United States,-95.5885,35.2305,Dutch North Sea Basin,Oil,Oil Seep 1,6.5,0.4,93.2,-29.5,-199,1.3
Mexico,-74.6802,11.6759,Sudan Basin,Gas,Oil Seep 1,6.3,0.2,93.8,-29.9,-203,1.5
Zimbabwe,109.0978,42.3508,Arabian Basin,Oil,Oil Seep 1,7.1,0.3,92.7,-29.4,-201,1.4
Canada,-95.6398,39.8254,New Jersey Basin,Oil,Oil Seep 1,6.3,0.3,93.3,-30.0,-199,1.6
Thailand,-4.2728,13.2218,Bas Cuu Long Basin,Gas,Gas Seep 1,7.2,0.4,93.9,-29.4,-202,1.3
Kuwait,108.7862,-28.8946,Washington Basin,Oil,Oil Seep 2,5.6,0.2,93.7,-29.1,-203,1.1
Iraq,68.9891,40.5293,Gulf of Valencia Basin,Gas,Gas Seep 2,5.7,0.4,93.3,-29.4,-201,1.4
Indonesia,-72.3452,44.9816,White Tiger Basin,Oil,Oil Seep 3,5.7,0.2,93.1,-29.6,-204,1.3
Venezuela,-2.0262,12.8635,Persian Gulf Basin,Oil,Oil Seep 3,6.8,0.3,93.8,-29.4,-203,1.4
United States,-89.3532,12.8629,Norwegian Sea Basin,Gas,Oil Seep 1,7.1,0.3,92.7,-29.2,-199,1.3
United States,109.6135,30.3174,Rumaila Basin,Oil,Gas Seep 1,7.0,0.4,93.8,-29.6,-199,1.2
Zimbabwe,39.651,38.3034,Falkland Plateau Basin,Gas,Oil Seep 1,5.8,0.3,93.3,-29.3,-201,1.4
Saudi Arabia,48.5172,23.8318,Malay Basin,Oil,Gas Seep 1,6.3,0.2,93.5,-29.8,-200,1.4
_RARE_,-102.6798,10.3964,Offshore Singapore Basin,Oil,Oil Seep 1,6.8,0.3,92.7,-30.1,-202,1.5
Russia,55.5285,40.9602,Gulf of Thailand Basin,Oil,Oil Seep 3,5.7,0.4,93.5,-29.2,-202,1.3
_RARE_,113.8762,44.9824,Dutch North Sea Basin,Oil,Oil Seep 1,6.7,0.4,92.7,-30.0,-205,1.4
Indonesia,-74.774,-18.9183,United Kingdom Continental Shelf Basin,Gas,Oil Seep 2,5.7,0.3,93.3,-29.4,-205,1.4
Russia,-0.9274,23.4766,White Tiger Basin,Oil,Gas Seep 1,6.1,0.2,93.1,-29.1,-204,1.4
Zimbabwe,13.8869,39.654,Great South Basin,Gas,Oil Seep 1,7.0,0.4,93.8,-30.1,-205,1.2
Venezuela,-122.4194,69.0409,Western Zambia Basin,Gas,Oil Seep 2,6.1,0.4,92.7,-29.4,-201,1.3
Thailand,-75.2539,29.0902,Eastern Venezuela Basin,Oil,Gas Seep 2,6.3,0.4,94.0,-29.5,-199,1.5
Vietnam,101.8895,14.4652,Sudan Basin,Oil,Oil Seep 1,7.0,0.4,93.8,-30.1,-204,1.5
Yemen,35.2345,15.5511,Southern California Continental Borderland Basin,Gas,Oil Seep 3,7.0,0.4,93.9,-29.5,-202,1.2
Zimbabwe,-73.9674,30.7031,Colorado Basin,Gas,Gas Seep 1,7.2,0.4,92.7,-29.2,-204,1.2
Vietnam,21.1638,31.7424,German North Sea Basin,Gas,Gas Seep 2,6.1,0.4,93.9,-29.4,-199,1.6
Venezuela,-111.2992,17.7509,Caspian Basin,Oil,Oil Seep 3,6.3,0.3,93.5,-29.5,-201,1.4
Mexico,-65.6634,50.9422,Malay Basin,Gas,Oil Seep 1,5.7,0.3,93.5,-29.5,-201,1.4
_RARE_,48.489,40.4914,White Tiger Basin,Gas,Oil Seep 2,6.8,0.1,92.6,-30.0,-202,1.6
Saudi Arabia,-96.9436,51.2144,Yangtze Basin,Oil,Oil Seep 2,5.6,0.1,93.8,-29.5,-202,1.4
Vietnam,53.5096,41.7258,Barinas Basin,Oil,Oil Seep 2,6.5,0.2,92.7,-30.2,-201,1.5
Uzbekistan,166.9592,12.8379,Indus Basin,Oil,Oil Seep 3,5.8,0.1,93.7,-29.5,-204,1.5
Zimbabwe,34.5903,31.7674,Agulhas Basin,Oil,Gas Seep 1,6.1,0.2,92.7,-29.5,-201,1.5
_RARE_,32.5316,26.6617,Great Basin Basin,Gas,Oil Seep 1,6.2,0.3,92.7,-30.2,-204,1.5
Thailand,-72.8341,39.7991,Lake Maracaibo Basin,Oil,Oil Seep 2,6.1,0.3,93.6,-29.5,-201,1.4
Iraq,101.2893,7.5253,Anadarko Basin,Oil,Oil Seep 1,7.2,0.2,92.6,-30.1,-204,1.3
United States,-117.3554,25.5218,Agulhas Basin,Oil,Gas Seep 1,6.5,0.3,93.9,-29.5,-202,1.3
Thailand,-89.3347,-27.027,German North Sea Basin,Oil,Gas Seep 2,6.5,0.3,93.7,-30.0,-201,1.4
Venezuela,108.25,12.8501,Indus Basin,Oil,Gas Seep 2,7.1,0.2,93.1,-30.0,-205,1.5
Yemen,108.78,20.7573,Saudi Basin,Oil,Oil Seep 1,6.1,0.2,93.1,-29.1,-199,1.1
Russia,50.4131,33.7967,Tracy Basin,Gas,Oil Seep 3,6.3,0.2,93.8,-29.5,-202,1.4
Uzbekistan,-73.8899,44.9847,Gulf of Thailand Basin,Oil,Oil Seep 1,5.8,0.3,93.5,-29.4,-201,1.4
United States,-122.4194,39.2397,South Uruguay Basin,Gas,Oil Seep 2,6.7,0.3,93.3,-29.4,-204,1.2
Saudi Arabia,56.9966,12.1829,Shabwah Basin,Oil,Oil Seep 2,6.1,0.3,93.5,-29.4,-201,1.4
Saudi Arabia,102.6058,4.2106,Mahakam Delta Basin,Oil,Gas Seep 2,6.1,0.3,93.6,-30.1,-202,1.4
Turkey,-66.7211,13.8081,Luangwa Basin,Oil,Oil Seep 2,6.3,0.1,93.6,-29.6,-199,1.3
Uzbekistan,-109.3458,46.9716,Qatar Arch Basin,Oil,Oil Seep 2,6.7,0.3,93.6,-29.4,-203,1.3
India,5.5921,34.0506,Gulf of Thailand Basin,Gas,Oil Seep 1,5.6,0.3,93.0,-29.2,-199,1.5
Canada,-121.6822,40.7256,Atlantic Margin Basin,Gas,Oil Seep 3,6.2,0.2,93.1,-30.0,-204,1.4
United States,49.6956,33.8534,Swiss Jura Basin,Oil,Oil Seep 3,6.8,0.3,92.7,-30.1,-201,1.6
Canada,35.2356,25.8063,Zambezi Basin,Gas,Oil Seep 1,7.1,0.3,93.0,-29.2,-199,1.4
Indonesia,54.0479,-28.2032,Philadelphia Basin,Oil,Oil Seep 2,7.2,0.3,93.3,-30.2,-201,1.3
Thailand,5.8098,11.0785,Sirte Basin,Gas,Oil Seep 2,6.2,0.2,93.0,-29.3,-201,1.4
Norway,28.2076,35.1237,Denver Basin,Oil,Oil Seep 1,7.2,0.3,93.8,-29.2,-199,1.2
Norway,-59.5166,-36.2433,East Coast Basin,Oil,Oil Seep 1,7.1,0.2,92.7,-30.1,-204,1.6
Indonesia,121.2293,46.7496,New Hebrides Basin,Gas,Oil Seep 1,5.8,0.3,92.7,-30.1,-201,1.3
Saudi Arabia,55.1444,39.9838,Anadarko Basin,Gas,Oil Seep 1,7.0,0.3,93.3,-29.2,-204,1.5
Vietnam,4.3141,29.3774,Dong Nai Basin,Oil,Oil Seep 1,5.6,0.3,93.8,-29.4,-200,1.5
Russia,108.6919,-32.419,Great South Basin,Oil,Oil Seep 3,7.0,0.2,93.2,-30.0,-204,1.3
Saudi Arabia,-115.0766,20.7446,Red River Basin,Oil,Gas Seep 1,6.3,0.4,93.6,-29.5,-202,1.3
United States,-95.7821,35.0664,Caribbean Basin,Oil,Oil Seep 1,6.8,0.3,92.7,-30.1,-201,1.5
Turkey,-95.5954,23.5894,Luapula Basin,Gas,Gas Seep 1,7.2,0.2,92.6,-30.1,-205,1.5
United States,78.551,-19.9115,Campeche Basin,Oil,Oil Seep 3,5.7,0.2,93.1,-29.9,-203,1.3
United States,159.6922,35.9068,Providence Basin,Oil,Gas Seep 2,7.2,0.1,92.7,-29.4,-198,1.5
Russia,81.5991,21.6255,Fergana Basin,Oil,Oil Seep 1,5.7,0.4,93.5,-29.4,-201,1.3
Zambia,-114.2876,-30.7627,Mahakam Delta Basin,Gas,Oil Seep 3,6.7,0.2,93.5,-29.5,-203,1.5
Russia,9.8906,15.0746,Southern California Basin,Gas,Gas Seep 2,7.1,0.3,93.7,-30.1,-199,1.4
Venezuela,5.6856,69.0409,Great South Basin,Oil,Oil Seep 3,7.0,0.1,93.3,-30.0,-205,1.2
Uzbekistan,34.1307,13.9233,Shabwa-Masila Basin,Oil,Oil Seep 1,6.3,0.3,93.3,-29.5,-201,1.4
United States,28.4744,-1.809,Arabian Basin,Gas,Gas Seep 2,6.3,0.2,94.0,-29.1,-201,1.4
Norway,55.3043,29.3426,Burgos Basin,Gas,Oil Seep 1,6.1,0.3,93.7,-29.5,-203,1.4
Venezuela,112.4733,46.5257,Upper Peninsula Basin,Gas,Oil Seep 3,6.8,0.2,92.9,-29.2,-202,1.4
Norway,-61.176,15.5354,New Jersey Basin,Oil,Gas Seep 2,5.8,0.2,93.1,-29.2,-199,1.3
Vietnam,7.0599,50.5688,Dutch North Sea Basin,Oil,Oil Seep 1,7.2,0.2,92.6,-30.1,-204,1.5
India,-119.7194,42.3568,Western Zambia Basin,Oil,Oil Seep 2,6.7,0.2,93.5,-30.1,-203,1.4
Zimbabwe,-72.7493,33.861,Lake Maracaibo Basin,Gas,Gas Seep 1,6.5,0.1,92.9,-30.1,-205,1.5
Norway,-114.9275,40.9793,United Kingdom Continental Shelf Basin,Oil,Gas Seep 1,6.7,0.3,93.0,-29.4,-203,1.4
Thailand,27.8864,32.9229,Caspian Basin,Gas,Oil Seep 3,6.9,0.5,93.1,-29.3,-200,1.5
India,45.1162,5.1836,Sirte Basin,Oil,Oil Seep 2,5.8,0.4,93.8,-29.7,-205,1.4
_RARE_,166.9592,35.7847,Atlantic Margin Basin,Oil,Oil Seep 1,6.2,0.1,93.1,-29.9,-200,1.5
Mexico,-95.3713,41.9151,Levantine Basin,Oil,Gas Seep 2,6.7,0.4,92.9,-29.4,-201,1.5
United States,121.046,-19.6637,Tracy Basin,Oil,Oil Seep 1,5.8,0.3,93.5,-30.0,-200,1.4
_RARE_,-88.9648,56.1603,Shabwah Basin,Oil,Gas Seep 2,6.3,0.2,92.6,-29.4,-201,1.5
United States,60.139,33.3905,Mumbai Offshore Basin,Oil,Oil Seep 1,6.3,0.5,93.3,-29.4,-201,1.4
Yemen,49.6003,11.0848,Bas Cuu Long Basin,Gas,Oil Seep 2,6.2,0.4,93.1,-29.6,-201,1.5
Uzbekistan,34.2873,4.7421,Arabian Basin,Gas,Gas Seep 2,7.0,0.3,93.8,-30.0,-199,1.2
Vietnam,103.8935,37.2958,German North Sea Basin,Gas,Oil Seep 2,6.8,0.2,93.6,-30.2,-204,1.4
Yemen,-5.1327,26.4888,Luapula Basin,Oil,Oil Seep 3,6.5,0.3,93.1,-29.4,-204,1.5
Kuwait,-120.8164,11.5497,Nankai Trough Basin,Gas,Gas Seep 2,7.2,0.4,92.9,-29.2,-199,1.5
Russia,14.6336,-41.4835,Sirte Basin,Gas,Oil Seep 1,6.9,0.2,93.1,-29.2,-204,1.2
United States,51.0914,6.6352,Gulf of Lion Basin,Gas,Oil Seep 3,6.8,0.2,93.9,-29.5,-201,1.4
Canada,48.1954,46.9286,White Tiger Basin,Gas,Oil Seep 1,6.5,0.2,92.8,-30.1,-204,1.5
Zimbabwe,58.7171,-35.4136,Heartland Basin,Gas,Gas Seep 1,6.1,0.2,92.8,-29.4,-201,1.4
United States,-122.1425,-31.2855,Limpopo Basin,Oil,Oil Seep 3,6.2,0.2,92.9,-29.5,-201,1.4
United Arab Emirates,-69.7398,-32.9602,Bach Long Vi Basin,Oil,Oil Seep 3,7.2,0.2,93.1,-29.5,-204,1.4
Kuwait,59.7533,57.562,Gulf of Thailand Basin,Gas,Gas Seep 1,6.8,0.3,93.6,-30.1,-201,1.5
Thailand,-110.2922,39.5232,Philippine Basin,Oil,Oil Seep 1,7.2,0.3,92.7,-29.5,-201,1.5
Indonesia,-102.0153,55.408,Shabwa-Masila Basin,Oil,Oil Seep 3,5.8,0.3,92.6,-29.3,-200,1.5
Saudi Arabia,68.2643,35.8299,Malay Basin,Oil,Gas Seep 2,7.2,0.4,93.6,-29.5,-204,1.3
Zambia,33.0806,15.9668,Shabwah Basin,Gas,Gas Seep 1,7.0,0.1,94.0,-29.3,-201,1.6
United States,-56.9952,-15.3867,East Coast Basin,Gas,Oil Seep 1,7.1,0.5,92.7,-30.1,-204,1.6
Norway,5.5929,6.9645,Burgos Basin,Gas,Oil Seep 3,6.3,0.2,93.5,-29.5,-201,1.4
Zambia,-64.6154,33.9892,Southern California Basin,Gas,Gas Seep 2,6.5,0.3,93.5,-29.2,-203,1.4
Yemen,6.0593,-19.0128,Providence Basin,Gas,Oil Seep 1,6.9,0.3,93.5,-29.4,-203,1.1
Mexico,44.0384,41.0682,Masila Basin,Oil,Oil Seep 1,6.3,0.3,92.7,-29.4,-201,1.4
Indonesia,-120.7547,46.5942,Gulf of Valencia Basin,Gas,Gas Seep 2,6.7,0.1,93.8,-30.1,-202,1.4
Uzbekistan,-27.9991,38.0316,Nile Delta Basin,Oil,Gas Seep 1,6.3,0.3,94.0,-29.4,-203,1.4
India,-67.0515,38.8282,Limpopo Basin,Gas,Oil Seep 3,6.7,0.2,93.7,-29.5,-201,1.4
Saudi Arabia,108.2626,37.0019,Caspian Basin,Gas,Oil Seep 1,5.8,0.4,93.2,-29.2,-199,1.3
Indonesia,5.6635,18.5,Shabwa-Masila Basin,Oil,Oil Seep 2,6.1,0.2,93.8,-29.6,-201,1.5
United States,7.2932,61.41,Limpopo Basin,Gas,Gas Seep 1,6.9,0.2,92.7,-29.5,-201,1.3
Mexico,-65.1146,56.4,Austin Chalk Basin,Gas,Gas Seep 2,6.2,0.1,93.6,-29.5,-201,1.3
United States,-71.8476,29.5401,_RARE_,Gas,Oil Seep 2,5.6,0.3,93.8,-29.5,-199,1.3
Zimbabwe,36.2213,-16.401,Norwegian Sea Basin,Gas,Oil Seep 1,7.1,0.3,93.5,-29.8,-199,1.4
Kuwait,-93.3493,34.8855,Persian Gulf Basin,Oil,Oil Seep 1,7.2,0.4,93.3,-30.1,-198,1.6
_RARE_,38.4346,6.8434,Taiwan Basin,Oil,Gas Seep 2,6.2,0.3,93.5,-29.5,-201,1.4
Norway,66.7983,38.2448,Cauvery Basin,Oil,Oil Seep 3,5.8,0.3,92.7,-29.4,-205,1.4
Thailand,88.0406,65.9401,Salalah Basin,Gas,Oil Seep 2,6.1,0.3,93.6,-29.5,-200,1.3
Venezuela,-122.292,24.3708,Shabwah Basin,Oil,Gas Seep 1,7.0,0.3,92.7,-29.4,-201,1.3
Zambia,101.2822,5.0326,Black Sea Basin,Gas,Oil Seep 2,5.8,0.4,92.7,-30.1,-199,1.3
Thailand,-6.9834,-29.592,New York Basin,Oil,Oil Seep 1,6.8,0.4,93.8,-29.2,-199,1.5
Turkey,-3.5935,26.5016,Amu Darya Basin,Gas,Oil Seep 1,7.1,0.3,92.7,-29.4,-204,1.2
Russia,-72.7579,6.798,Shabwah Basin,Gas,Oil Seep 1,6.2,0.3,93.1,-30.0,-205,1.4
Zimbabwe,53.9519,17.4062,Offshore Singapore Basin,Gas,Oil Seep 3,6.1,0.2,92.6,-29.5,-205,1.5
Kuwait,-56.1473,4.2292,Dutch North Sea Basin,Gas,Oil Seep 2,7.1,0.4,94.0,-29.2,-199,1.3
Thailand,104.4278,37.501,Lake Maracaibo Basin,Oil,Oil Seep 2,7.0,0.4,93.8,-30.1,-199,1.6
United States,-97.3715,56.1506,Caspian Basin,Oil,Oil Seep 3,6.7,0.1,93.6,-29.5,-204,1.4
Mexico,68.9049,14.085,Great Basin Basin,Oil,Oil Seep 2,6.9,0.2,93.5,-29.1,-201,1.5
Russia,-85.8778,-19.6183,Philadelphia Basin,Oil,Oil Seep 2,6.7,0.2,92.7,-29.8,-198,1.5
Kuwait,-95.5776,13.4449,Philippine Basin,Gas,Oil Seep 3,7.2,0.2,93.5,-30.0,-204,1.5
Venezuela,121.3135,45.2132,San Joaquin Basin,Gas,Oil Seep 3,6.3,0.2,93.1,-30.2,-202,1.5
Yemen,121.2869,59.9357,Yangtze Basin,Gas,Gas Seep 1,6.1,0.2,92.8,-29.7,-204,1.4
United States,108.0621,30.138,Arabian Basin,Gas,Oil Seep 2,6.3,0.1,92.9,-29.5,-204,1.5
United States,29.1554,-0.9625,Persian Gulf Basin,Gas,Gas Seep 1,7.0,0.2,92.7,-30.1,-203,1.5
_RARE_,31.7733,10.6291,Black Sea Basin,Oil,Gas Seep 2,6.1,0.4,93.5,-29.5,-201,1.3
Yemen,-95.6971,30.4174,Gulf of Thailand Basin,Gas,Oil Seep 3,6.2,0.2,92.8,-29.6,-203,1.4
Canada,9.6387,-32.1776,Mahakam Delta Basin,Gas,Oil Seep 2,6.1,0.5,94.0,-29.7,-198,1.5
Russia,-122.2242,0.1893,Gulf of Lion Basin,Gas,Oil Seep 3,6.3,0.2,92.6,-29.5,-201,1.5
Zimbabwe,115.468,20.8797,South Uruguay Basin,Gas,Oil Seep 2,7.2,0.5,93.8,-29.2,-199,1.3
Vietnam,2.9884,36.5593,Dutch North Sea Basin,Gas,Oil Seep 1,6.1,0.4,93.5,-30.1,-202,1.5
Venezuela,5.4926,-42.0276,Aden Rift Basin,Oil,Gas Seep 1,6.7,0.4,92.7,-29.2,-199,1.2
Russia,-71.8241,31.4746,Shabwa-Masila Basin,Gas,Oil Seep 3,5.8,0.3,92.7,-30.1,-202,1.6
United States,30.1376,41.1087,Southern California Basin,Gas,Gas Seep 2,7.1,0.3,93.8,-29.5,-204,1.3
Norway,9.7742,15.7532,Amu Darya Basin,Oil,Oil Seep 3,6.7,0.2,92.8,-29.9,-202,1.5
United States,104.5748,29.3952,Shabwa-Masila Basin,Gas,Oil Seep 3,5.8,0.4,93.3,-29.4,-202,1.4
_RARE_,121.2422,20.9355,Sudan Basin,Oil,Gas Seep 2,6.9,0.2,92.7,-29.4,-204,1.5
Thailand,-122.3362,27.1053,Iowa Basin,Oil,Oil Seep 3,5.8,0.4,93.9,-29.2,-199,1.2
Venezuela,-67.1484,12.8679,Upper Peninsula Basin,Gas,Gas Seep 2,5.6,0.4,93.3,-29.2,-205,1.3
Thailand,48.5181,-16.6723,Zambezi Basin,Oil,Oil Seep 3,5.7,0.2,93.7,-30.0,-200,1.4
United States,-40.6955,44.8935,Caspian Basin,Oil,Oil Seep 1,7.2,0.2,92.7,-30.0,-204,1.5
India,48.5166,34.899,Philadelphia Basin,Gas,Gas Seep 2,6.7,0.4,93.6,-29.4,-205,1.3
United Arab Emirates,20.4034,41.5537,Zimbabwe Border Basin,Gas,Oil Seep 1,6.7,0.4,93.3,-29.4,-201,1.2
Kuwait,30.3701,40.2458,Rumaila Basin,Oil,Gas Seep 1,6.9,0.3,93.0,-29.4,-199,1.2
Turkey,-90.4403,26.3204,Limpopo Basin,Oil,Gas Seep 2,5.7,0.4,93.8,-30.2,-202,1.3
Yemen,68.704,46.2444,Sirte Basin,Oil,Gas Seep 2,7.2,0.1,93.7,-29.3,-202,1.4
Zimbabwe,166.9592,24.8576,Guayaquil Basin,Gas,Gas Seep 1,7.0,0.3,93.5,-30.0,-202,1.3
_RARE_,50.3437,46.2617,Luangwa Basin,Oil,Gas Seep 1,6.8,0.1,93.8,-29.9,-199,1.5
United Arab Emirates,74.534,29.8456,Levant Basin,Oil,Gas Seep 2,5.8,0.5,92.9,-29.5,-199,1.4
United States,117.7826,14.0008,Great Basin Basin,Gas,Oil Seep 1,6.9,0.1,93.5,-30.1,-198,1.5
Indonesia,138.1747,6.5519,White Tiger Basin,Oil,Gas Seep 2,7.0,0.2,92.9,-29.9,-204,1.5
Yemen,-74.8815,15.7072,Dutch North Sea Basin,Gas,Oil Seep 1,5.8,0.3,93.5,-29.9,-204,1.4
Turkey,6.263,61.2566,Syria Basin,Gas,Gas Seep 2,5.6,0.1,92.8,-29.5,-205,1.4
Canada,65.1947,40.0686,Anadarko Basin,Oil,Gas Seep 1,6.1,0.3,93.0,-29.5,-199,1.3
Zimbabwe,65.2869,5.1763,Southern California Basin,Oil,Oil Seep 1,6.5,0.3,93.5,-29.4,-199,1.3
Vietnam,30.3234,14.7473,Persian Gulf Basin,Gas,Oil Seep 2,6.3,0.4,93.5,-29.4,-199,1.3
Zambia,-117.4449,15.6276,Luangwa Basin,Gas,Oil Seep 2,5.6,0.3,93.3,-29.4,-199,1.5
Zimbabwe,21.3562,-19.0139,Eastern Venezuela Basin,Gas,Gas Seep 1,7.2,0.2,93.5,-30.1,-201,1.2
United Arab Emirates,-59.7473,23.5201,Green River Basin,Oil,Gas Seep 2,5.6,0.4,92.8,-29.7,-201,1.3
Venezuela,-115.225,-31.2132,Atlantic Margin Basin,Gas,Oil Seep 2,6.1,0.3,93.8,-29.2,-198,1.2
Mexico,29.8293,43.8004,Providence Basin,Oil,Gas Seep 2,6.3,0.1,93.9,-29.6,-199,1.4
Turkey,-3.4401,35.0658,Fergana Basin,Gas,Gas Seep 1,6.3,0.3,93.5,-29.4,-202,1.3
Venezuela,101.3265,2.8944,Tracy Basin,Oil,Oil Seep 1,5.8,0.3,93.0,-29.6,-200,1.3
Zimbabwe,30.7749,30.3006,Manica Basin,Oil,Oil Seep 2,7.1,0.1,93.6,-29.5,-203,1.4
United States,134.0874,40.5635,Baghdad Basin,Oil,Oil Seep 3,5.7,0.5,92.6,-29.5,-202,1.2
Zambia,-73.2094,24.1571,Syria Basin,Oil,Oil Seep 3,6.8,0.2,93.5,-29.5,-203,1.4
Uzbekistan,47.6079,35.7079,Southern California Borderland Basin,Oil,Gas Seep 2,6.9,0.3,92.6,-29.6,-201,1.2
United States,31.047,-28.5272,Upper Peninsula Basin,Oil,Gas Seep 2,6.2,0.2,92.8,-30.2,-202,1.5
Iraq,-98.7792,33.7261,Levantine Basin,Oil,Oil Seep 3,6.3,0.1,92.7,-29.5,-201,1.4
Mexico,-0.0091,51.346,Levant Basin,Oil,Oil Seep 1,7.1,0.3,92.7,-30.1,-204,1.5
Zambia,-72.7356,51.9951,Fergana Basin,Gas,Oil Seep 3,6.8,0.2,92.8,-29.5,-203,1.5
_RARE_,29.7926,11.1131,Arabian Basin,Oil,Oil Seep 2,6.5,0.3,92.6,-30.2,-202,1.5
Vietnam,12.3157,34.0552,United Kingdom Continental Shelf Basin,Gas,Oil Seep 1,6.9,0.5,93.8,-29.7,-205,1.5
Vietnam,-82.4651,39.7423,Bach Long Vi Basin,Oil,Gas Seep 1,7.0,0.2,93.0,-30.1,-204,1.5
Vietnam,-105.8422,16.0036,North Sea Basin,Gas,Gas Seep 1,6.1,0.4,92.7,-29.3,-201,1.5
Norway,12.8029,12.8296,Limpopo Basin,Oil,Gas Seep 1,6.1,0.3,93.9,-29.4,-203,1.4
Kuwait,33.057,37.808,Offshore Singapore Basin,Gas,Oil Seep 1,7.0,0.3,93.5,-29.4,-201,1.4
Turkey,6.4344,33.3999,New York Basin,Oil,Oil Seep 2,6.7,0.4,93.9,-29.2,-202,1.2
_RARE_,-86.1867,42.1456,Tracy Basin,Oil,Oil Seep 2,7.1,0.4,93.8,-29.3,-205,1.2
Canada,-69.5421,37.7941,Fox Basin,Oil,Oil Seep 1,5.8,0.3,92.7,-29.4,-199,1.3
_RARE_,120.9769,69.0409,San Joaquin Basin,Gas,Gas Seep 1,6.2,0.3,93.5,-29.8,-203,1.5
Indonesia,36.5025,40.7137,Campeche Basin,Gas,Gas Seep 1,6.8,0.2,93.0,-29.4,-201,1.4
Thailand,166.9592,40.7271,_RARE_,Oil,Oil Seep 1,7.0,0.2,92.9,-29.7,-201,1.4
Venezuela,69.3353,6.6988,San Joaquin Basin,Oil,Gas Seep 1,6.1,0.3,92.7,-29.2,-199,1.3
Mexico,54.962,30.3457,Zimbabwe Border Basin,Oil,Gas Seep 2,6.1,0.4,93.5,-29.2,-202,1.2
Turkey,95.8358,37.5219,Agulhas Basin,Gas,Oil Seep 3,7.2,0.1,92.7,-29.7,-203,1.6
_RARE_,5.2979,15.4762,Tracy Basin,Gas,Gas Seep 2,6.1,0.4,93.1,-30.0,-204,1.4
Uzbekistan,-93.2922,29.3474,Sirte Basin,Oil,Oil Seep 3,6.9,0.3,93.8,-30.0,-200,1.5
Kuwait,103.7365,40.7141,Aegean Basin,Oil,Oil Seep 3,6.1,0.4,93.8,-29.5,-199,1.5
Iraq,31.8389,42.3546,Zambezi Basin,Gas,Oil Seep 3,6.7,0.2,93.1,-30.1,-199,1.4
Saudi Arabia,-105.3457,46.3203,Saudi Basin,Gas,Oil Seep 3,6.7,0.2,93.1,-29.2,-201,1.4
_RARE_,-85.5932,36.8473,Illinois Basin,Oil,Gas Seep 2,6.8,0.1,93.1,-29.5,-201,1.6
Turkey,-73.5328,40.7136,Bas Cuu Long Basin,Oil,Gas Seep 2,6.3,0.4,93.2,-29.2,-199,1.3
Saudi Arabia,-122.4157,-10.0277,North Sea Basin,Gas,Oil Seep 3,6.3,0.3,93.3,-29.4,-201,1.4
Turkey,38.6117,34.646,Anadarko Basin,Gas,Oil Seep 2,6.3,0.4,93.5,-29.1,-205,1.3
Thailand,104.094,37.2016,Denver Basin,Oil,Oil Seep 2,6.9,0.2,94.0,-29.6,-203,1.5
Zimbabwe,58.5753,39.742,Qatar Arch Basin,Gas,Oil Seep 2,6.8,0.1,92.7,-29.4,-205,1.5
Kuwait,35.2325,32.7186,Anadarko Basin,Gas,Oil Seep 3,6.3,0.5,93.6,-29.5,-199,1.4
Zambia,-95.853,12.8431,Lake Maracaibo Basin,Oil,Oil Seep 2,5.7,0.4,92.8,-29.5,-204,1.5
United States,-110.8936,-39.2338,Abu Dhabi Basin,Gas,Gas Seep 2,7.2,0.4,92.8,-29.3,-203,1.4
Norway,-70.4537,30.3501,Aden Rift Basin,Gas,Oil Seep 2,6.3,0.4,93.7,-29.7,-198,1.3
Saudi Arabia,-70.5102,44.0065,Upper Peninsula Basin,Gas,Oil Seep 2,5.6,0.4,93.2,-29.4,-201,1.4
Iraq,-71.3091,24.0526,Southern Georgia Embayment Basin,Oil,Oil Seep 1,6.1,0.2,93.7,-29.4,-202,1.4
Uzbekistan,68.7499,34.0463,Burgos Basin,Gas,Gas Seep 1,6.7,0.1,92.9,-29.4,-201,1.5
United States,-88.1958,36.0044,Sudan Basin,Gas,Oil Seep 3,6.7,0.2,92.6,-29.9,-203,1.5
Norway,111.2995,15.2671,Baghdad Basin,Oil,Oil Seep 1,6.2,0.3,93.8,-30.1,-204,1.2
Norway,30.4097,38.6701,Mahakam Delta Basin,Oil,Oil Seep 1,6.5,0.3,93.8,-30.0,-205,1.6
